#reqtime=1732320250.324,2024-11-23 00:04:10.324,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=443&dataTypes.0=939.655523352325&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,CALM_east,CALM_north,CALM_up
1539345600.000,2018-10-12 12:00:00,        -0.078735,        -0.030178,        -0.486231
1539432000.000,2018-10-13 12:00:00,        -0.075338,        -0.028001,        -0.491896
1539518400.000,2018-10-14 12:00:00,        -0.078226,        -0.027576,        -0.483789
1539604800.000,2018-10-15 12:00:00,        -0.078068,        -0.029451,        -0.492607
1539691200.000,2018-10-16 12:00:00,        -0.075074,        -0.021869,        -0.494705
1539777600.000,2018-10-17 12:00:00,        -0.075355,        -0.030322,        -0.477467
1539864000.000,2018-10-18 12:00:00,        -0.076819,        -0.030500,        -0.496217
1539950400.000,2018-10-19 12:00:00,        -0.078154,        -0.030986,        -0.494253
1540036800.000,2018-10-20 12:00:00,        -0.073274,        -0.029650,        -0.497987
1540123200.000,2018-10-21 12:00:00,        -0.083200,        -0.032576,        -0.500484
1540209600.000,2018-10-22 12:00:00,        -0.079457,        -0.028790,        -0.505961
1540296000.000,2018-10-23 12:00:00,        -0.077549,        -0.026671,        -0.499247
1540382400.000,2018-10-24 12:00:00,        -0.079340,        -0.032988,        -0.526847
1540468800.000,2018-10-25 12:00:00,        -0.076312,        -0.028426,        -0.509122
1540555200.000,2018-10-26 12:00:00,        -0.079675,        -0.029804,        -0.513899
1540641600.000,2018-10-27 12:00:00,        -0.078974,        -0.030634,        -0.503965
1540728000.000,2018-10-28 12:00:00,        -0.079021,        -0.031455,        -0.501625
