#reqtime=1732320273.221,2024-11-23 00:04:33.221,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=438&dataTypes.0=1099.5926440395415&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,CALS_east,CALS_north,CALS_up
1528804800.000,2018-06-12 12:00:00,        33.736819,       -21.959834,       127.724873
1528891200.000,2018-06-13 12:00:00,        33.483448,       -21.796336,       127.227467
1528977600.000,2018-06-14 12:00:00,        33.214396,       -21.624932,       126.634312
1529064000.000,2018-06-15 12:00:00,        32.881698,       -21.429867,       125.900006
1529150400.000,2018-06-16 12:00:00,        32.499214,       -21.186884,       124.942940
1529236800.000,2018-06-17 12:00:00,        32.254240,       -20.952411,       124.214536
1529323200.000,2018-06-18 12:00:00,        31.964464,       -20.710015,       123.419359
1529409600.000,2018-06-19 12:00:00,        31.677294,       -20.426435,       122.440778
1529496000.000,2018-06-20 12:00:00,        31.232989,       -20.030972,       121.241685
1529582400.000,2018-06-21 12:00:00,        30.872970,       -19.615107,       120.005024
1529755200.000,2018-06-23 12:00:00,        29.678306,       -18.333906,       116.096957
1529841600.000,2018-06-24 12:00:00,        29.067064,       -17.575020,       114.003277
1529928000.000,2018-06-25 12:00:00,        28.229064,       -16.637454,       110.918268
1530014400.000,2018-06-26 12:00:00,        27.269297,       -15.763804,       107.407951
1530187200.000,2018-06-28 12:00:00,        25.919674,       -14.896177,       102.145229
1530273600.000,2018-06-29 12:00:00,        24.982638,       -14.252291,        98.834774
1530360000.000,2018-06-30 12:00:00,        24.117984,       -13.503229,        95.944705
1530532800.000,2018-07-02 12:00:00,        22.817114,       -12.962186,        90.401096
1530792000.000,2018-07-05 12:00:00,        20.449268,       -11.635791,        79.820052
1530878400.000,2018-07-06 12:00:00,        19.713442,       -11.275177,        76.723420
1531051200.000,2018-07-08 12:00:00,        18.585220,       -10.732585,        71.685065
1531137600.000,2018-07-09 12:00:00,        17.821959,       -10.364766,        68.033079
1531224000.000,2018-07-10 12:00:00,        16.937056,        -9.842647,        64.572359
1531396800.000,2018-07-12 12:00:00,        15.793824,        -9.364665,        59.388322
1531483200.000,2018-07-13 12:00:00,        15.023379,        -8.910377,        55.708311
1531656000.000,2018-07-15 12:00:00,        13.903161,        -8.403883,        50.863305
1531742400.000,2018-07-16 12:00:00,        13.015827,        -7.889078,        47.349464
1531828800.000,2018-07-17 12:00:00,        12.123881,        -7.379429,        43.813822
1532001600.000,2018-07-19 12:00:00,        10.812970,        -6.706683,        38.922028
1532174400.000,2018-07-21 12:00:00,         9.335967,        -5.921707,        33.415880
1532260800.000,2018-07-22 12:00:00,         8.263972,        -5.193210,        29.809212
1532433600.000,2018-07-24 12:00:00,         6.909034,        -4.399296,        25.204613
1532520000.000,2018-07-25 12:00:00,         5.846529,        -3.648793,        21.385415
1532692800.000,2018-07-27 12:00:00,         4.475727,        -2.812713,        16.544806
1532779200.000,2018-07-28 12:00:00,         4.098522,        -2.682495,        15.519021
1532865600.000,2018-07-29 12:00:00,         3.124186,        -1.956463,        11.933581
1533038400.000,2018-07-31 12:00:00,         1.928277,        -1.174630,         7.324047
1533124800.000,2018-08-01 12:00:00,         0.912496,        -0.455294,         3.864343
1533211200.000,2018-08-02 12:00:00,         0.671185,        -0.361811,         2.922681
1533470400.000,2018-08-05 12:00:00,        -0.545323,         0.516066,        -1.586866
1533556800.000,2018-08-06 12:00:00,        -0.550332,         0.517002,        -1.596577
1533643200.000,2018-08-07 12:00:00,        -0.557807,         0.514153,        -1.608308
1533729600.000,2018-08-08 12:00:00,        -0.563214,         0.511615,        -1.620965
1533816000.000,2018-08-09 12:00:00,        -0.567910,         0.502580,        -1.618480
1533902400.000,2018-08-10 12:00:00,        -0.564179,         0.499603,        -1.615365
1533988800.000,2018-08-11 12:00:00,        -0.568754,         0.501167,        -1.642249
1534075200.000,2018-08-12 12:00:00,        -0.569275,         0.501331,        -1.633709
1534161600.000,2018-08-13 12:00:00,        -0.572944,         0.498255,        -1.651626
1534248000.000,2018-08-14 12:00:00,        -0.574489,         0.495583,        -1.649998
1534334400.000,2018-08-15 12:00:00,        -0.572081,         0.492843,        -1.631070
1534420800.000,2018-08-16 12:00:00,        -0.572902,         0.490145,        -1.648598
1534507200.000,2018-08-17 12:00:00,        -0.575648,         0.491532,        -1.669036
1534593600.000,2018-08-18 12:00:00,        -0.575270,         0.488466,        -1.645141
1534680000.000,2018-08-19 12:00:00,        -0.574311,         0.481421,        -1.646379
1534766400.000,2018-08-20 12:00:00,        -0.571714,         0.484343,        -1.669743
1534852800.000,2018-08-21 12:00:00,        -0.577072,         0.485792,        -1.680312
1534939200.000,2018-08-22 12:00:00,        -0.575585,         0.482751,        -1.658608
1535025600.000,2018-08-23 12:00:00,        -0.575205,         0.472581,        -1.684758
1535112000.000,2018-08-24 12:00:00,        -0.577047,         0.473864,        -1.666509
1535284800.000,2018-08-26 12:00:00,        -0.580129,         0.477045,        -1.687375
1535371200.000,2018-08-27 12:00:00,        -0.584065,         0.483894,        -1.676182
1535457600.000,2018-08-28 12:00:00,        -0.582203,         0.477715,        -1.693753
1535544000.000,2018-08-29 12:00:00,        -0.585797,         0.477346,        -1.710575
1535630400.000,2018-08-30 12:00:00,        -0.587305,         0.477155,        -1.710589
1535716800.000,2018-08-31 12:00:00,        -0.589576,         0.469499,        -1.711618
1535803200.000,2018-09-01 12:00:00,        -0.590252,         0.472761,        -1.700232
1535889600.000,2018-09-02 12:00:00,        -0.593780,         0.468977,        -1.706450
1535976000.000,2018-09-03 12:00:00,        -0.592878,         0.468523,        -1.705733
1536062400.000,2018-09-04 12:00:00,        -0.592667,         0.469046,        -1.705000
1536148800.000,2018-09-05 12:00:00,        -0.594170,         0.470769,        -1.727301
1536235200.000,2018-09-06 12:00:00,        -0.595944,         0.471197,        -1.721154
