#reqtime=1732320291.908,2024-11-23 00:04:51.908,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=361&dataTypes.0=1123.8055172311142&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,CNPK_east,CNPK_north,CNPK_up
1230811200.000,2009-01-01 12:00:00,        -0.370265,         0.201067,         0.168289
1230897600.000,2009-01-02 12:00:00,        -0.366805,         0.195046,         0.188126
1230984000.000,2009-01-03 12:00:00,        -0.372106,         0.193526,         0.180773
1231070400.000,2009-01-04 12:00:00,        -0.364779,         0.198019,         0.177069
1231156800.000,2009-01-05 12:00:00,        -0.371978,         0.199273,         0.170744
1231243200.000,2009-01-06 12:00:00,        -0.369627,         0.199732,         0.168902
1231329600.000,2009-01-07 12:00:00,        -0.367228,         0.196248,         0.172434
1231416000.000,2009-01-08 12:00:00,        -0.369583,         0.195580,         0.175215
1231502400.000,2009-01-09 12:00:00,        -0.369287,         0.197540,         0.184495
1231588800.000,2009-01-10 12:00:00,        -0.369805,         0.197934,         0.181090
1231675200.000,2009-01-11 12:00:00,        -0.371813,         0.195757,         0.176407
1231761600.000,2009-01-12 12:00:00,        -0.369345,         0.196821,         0.179543
1231848000.000,2009-01-13 12:00:00,        -0.367568,         0.196856,         0.178040
1231934400.000,2009-01-14 12:00:00,        -0.370699,         0.196270,         0.176475
1232020800.000,2009-01-15 12:00:00,        -0.371528,         0.194769,         0.179278
1232107200.000,2009-01-16 12:00:00,        -0.383012,         0.195477,         0.183437
1232193600.000,2009-01-17 12:00:00,        -0.369519,         0.197463,         0.185046
1232280000.000,2009-01-18 12:00:00,        -0.365624,         0.195266,         0.192671
1232366400.000,2009-01-19 12:00:00,        -0.368536,         0.195922,         0.180408
1232452800.000,2009-01-20 12:00:00,        -0.369968,         0.196539,         0.180798
1232539200.000,2009-01-21 12:00:00,        -0.368865,         0.193873,         0.192235
1232625600.000,2009-01-22 12:00:00,        -0.369739,         0.192770,         0.181860
1232712000.000,2009-01-23 12:00:00,        -0.368825,         0.194041,         0.180960
1232798400.000,2009-01-24 12:00:00,        -0.368941,         0.193036,         0.172041
1232884800.000,2009-01-25 12:00:00,        -0.368253,         0.193627,         0.171813
1232971200.000,2009-01-26 12:00:00,        -0.367267,         0.195147,         0.177599
1233057600.000,2009-01-27 12:00:00,        -0.368561,         0.195515,         0.171970
1233144000.000,2009-01-28 12:00:00,        -0.367606,         0.194377,         0.172629
1233230400.000,2009-01-29 12:00:00,        -0.367458,         0.193973,         0.175407
1233316800.000,2009-01-30 12:00:00,        -0.368518,         0.196150,         0.166998
1233403200.000,2009-01-31 12:00:00,        -0.366679,         0.194514,         0.172040
1233489600.000,2009-02-01 12:00:00,        -0.368926,         0.193154,         0.172693
1233576000.000,2009-02-02 12:00:00,        -0.368462,         0.192791,         0.175929
1233662400.000,2009-02-03 12:00:00,        -0.367662,         0.193439,         0.167313
1233748800.000,2009-02-04 12:00:00,        -0.365630,         0.197238,         0.180396
1233835200.000,2009-02-05 12:00:00,        -0.365625,         0.196621,         0.169908
1233921600.000,2009-02-06 12:00:00,        -0.365826,         0.194617,         0.178771
1234008000.000,2009-02-07 12:00:00,        -0.364645,         0.194692,         0.173564
1234094400.000,2009-02-08 12:00:00,        -0.366298,         0.192211,         0.170255
1234180800.000,2009-02-09 12:00:00,        -0.365952,         0.194570,         0.173781
1234267200.000,2009-02-10 12:00:00,        -0.363877,         0.195442,         0.171740
1234353600.000,2009-02-11 12:00:00,        -0.364321,         0.197067,         0.176520
1234440000.000,2009-02-12 12:00:00,        -0.363662,         0.192693,         0.168694
1234526400.000,2009-02-13 12:00:00,        -0.365961,         0.193478,         0.166084
1234612800.000,2009-02-14 12:00:00,        -0.362635,         0.192945,         0.174639
1234699200.000,2009-02-15 12:00:00,        -0.366314,         0.191824,         0.167601
1234785600.000,2009-02-16 12:00:00,        -0.365948,         0.191917,         0.166812
1234872000.000,2009-02-17 12:00:00,        -0.364344,         0.191207,         0.168914
1234958400.000,2009-02-18 12:00:00,        -0.364863,         0.189198,         0.176404
1235044800.000,2009-02-19 12:00:00,        -0.363508,         0.189657,         0.176965
1235131200.000,2009-02-20 12:00:00,        -0.367045,         0.190988,         0.174232
1235217600.000,2009-02-21 12:00:00,        -0.366303,         0.193911,         0.166508
1235304000.000,2009-02-22 12:00:00,        -0.365606,         0.192644,         0.171689
1235390400.000,2009-02-23 12:00:00,        -0.362756,         0.192704,         0.182398
1235476800.000,2009-02-24 12:00:00,        -0.362548,         0.194885,         0.174830
1235563200.000,2009-02-25 12:00:00,        -0.366493,         0.191690,         0.186613
1235649600.000,2009-02-26 12:00:00,        -0.366104,         0.191130,         0.183645
1235736000.000,2009-02-27 12:00:00,        -0.366376,         0.191148,         0.178174
1235822400.000,2009-02-28 12:00:00,        -0.361428,         0.191306,         0.174041
1235908800.000,2009-03-01 12:00:00,        -0.359619,         0.190393,         0.179086
1235995200.000,2009-03-02 12:00:00,        -0.362876,         0.189876,         0.155335
1236081600.000,2009-03-03 12:00:00,        -0.364195,         0.186688,         0.172387
1236168000.000,2009-03-04 12:00:00,        -0.363447,         0.190265,         0.170503
1236254400.000,2009-03-05 12:00:00,        -0.360233,         0.192118,         0.175263
1236340800.000,2009-03-06 12:00:00,        -0.363898,         0.191231,         0.174739
1236427200.000,2009-03-07 12:00:00,        -0.359096,         0.192820,         0.162996
1236513600.000,2009-03-08 12:00:00,        -0.361612,         0.191623,         0.161363
1236600000.000,2009-03-09 12:00:00,        -0.361224,         0.194306,         0.168453
1236686400.000,2009-03-10 12:00:00,        -0.360409,         0.190672,         0.168686
1236772800.000,2009-03-11 12:00:00,        -0.360054,         0.191868,         0.169057
