#reqtime=1732320321.975,2024-11-23 00:05:21.975,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=362&dataTypes.0=1147.5524405715987&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,CRIM_east,CRIM_north,CRIM_up
1212840000.000,2008-06-07 12:00:00,         0.096941,        -0.070162,         0.664376
1212926400.000,2008-06-08 12:00:00,         0.102265,        -0.071592,         0.668954
1213012800.000,2008-06-09 12:00:00,         0.100663,        -0.071941,         0.672956
1213099200.000,2008-06-10 12:00:00,         0.100385,        -0.069633,         0.665245
1213185600.000,2008-06-11 12:00:00,         0.096496,        -0.069757,         0.666163
1213272000.000,2008-06-12 12:00:00,         0.100040,        -0.070251,         0.662775
1213358400.000,2008-06-13 12:00:00,         0.099621,        -0.073499,         0.665399
1213444800.000,2008-06-14 12:00:00,         0.100924,        -0.067897,         0.683181
1213531200.000,2008-06-15 12:00:00,         0.099328,        -0.070980,         0.666181
1213617600.000,2008-06-16 12:00:00,         0.098597,        -0.072115,         0.649251
1213704000.000,2008-06-17 12:00:00,         0.098567,        -0.070459,         0.664379
1213790400.000,2008-06-18 12:00:00,         0.096473,        -0.071814,         0.645828
1213876800.000,2008-06-19 12:00:00,         0.097373,        -0.071490,         0.659534
1213963200.000,2008-06-20 12:00:00,         0.097938,        -0.074073,         0.652063
1214049600.000,2008-06-21 12:00:00,         0.097728,        -0.073313,         0.663308
1214136000.000,2008-06-22 12:00:00,         0.095781,        -0.072232,         0.648442
