#reqtime=1732323793.799,2024-11-23 01:03:13.799,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=359&dataTypes.0=1128.9026335198432&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,HOVL_east,HOVL_north,HOVL_up
1208433600.000,2008-04-17 12:00:00,        -0.064149,         0.154062,         0.072394
1208520000.000,2008-04-18 12:00:00,        -0.064325,         0.155522,         0.080017
1208606400.000,2008-04-19 12:00:00,        -0.062733,         0.158172,         0.073035
1208692800.000,2008-04-20 12:00:00,        -0.064597,         0.157037,         0.079376
1208779200.000,2008-04-21 12:00:00,        -0.064590,         0.153199,         0.073971
1208865600.000,2008-04-22 12:00:00,        -0.063185,         0.155076,         0.074997
1208952000.000,2008-04-23 12:00:00,        -0.061378,         0.153506,         0.080892
1209038400.000,2008-04-24 12:00:00,        -0.063045,         0.152955,         0.081626
1209124800.000,2008-04-25 12:00:00,        -0.065538,         0.153419,         0.065797
1209211200.000,2008-04-26 12:00:00,        -0.059852,         0.157209,         0.082436
1209297600.000,2008-04-27 12:00:00,        -0.061333,         0.155474,         0.069478
1209384000.000,2008-04-28 12:00:00,        -0.063961,         0.155343,         0.068763
1209470400.000,2008-04-29 12:00:00,        -0.064772,         0.154460,         0.078336
1209556800.000,2008-04-30 12:00:00,        -0.062547,         0.155390,         0.077362
1209643200.000,2008-05-01 12:00:00,        -0.064349,         0.154432,         0.071792
1209729600.000,2008-05-02 12:00:00,        -0.063114,         0.152274,         0.075947
1209816000.000,2008-05-03 12:00:00,        -0.066581,         0.149515,         0.071824
1209902400.000,2008-05-04 12:00:00,        -0.062678,         0.151108,         0.059408
1209988800.000,2008-05-05 12:00:00,        -0.064583,         0.153536,         0.062709
1210075200.000,2008-05-06 12:00:00,        -0.062889,         0.153634,         0.065690
1210161600.000,2008-05-07 12:00:00,        -0.065627,         0.151165,         0.062521
1210248000.000,2008-05-08 12:00:00,        -0.063174,         0.153487,         0.053647
1210334400.000,2008-05-09 12:00:00,        -0.062306,         0.152076,         0.057273
1210420800.000,2008-05-10 12:00:00,        -0.062618,         0.150166,         0.059224
1210507200.000,2008-05-11 12:00:00,        -0.064443,         0.152538,         0.049614
1210593600.000,2008-05-12 12:00:00,        -0.062780,         0.154974,         0.056379
1210680000.000,2008-05-13 12:00:00,        -0.060412,         0.152320,         0.066659
1210766400.000,2008-05-14 12:00:00,        -0.062431,         0.149839,         0.062539
1210852800.000,2008-05-15 12:00:00,        -0.061345,         0.148655,         0.062963
1210939200.000,2008-05-16 12:00:00,        -0.061282,         0.151040,         0.061827
1211025600.000,2008-05-17 12:00:00,        -0.062143,         0.152738,         0.070062
1211112000.000,2008-05-18 12:00:00,        -0.062296,         0.153753,         0.061022
1211198400.000,2008-05-19 12:00:00,        -0.060504,         0.157956,         0.052746
1211284800.000,2008-05-20 12:00:00,        -0.061713,         0.148506,         0.046300
1211371200.000,2008-05-21 12:00:00,        -0.059553,         0.153285,         0.058075
1211457600.000,2008-05-22 12:00:00,        -0.061559,         0.152019,         0.062878
1211544000.000,2008-05-23 12:00:00,        -0.062320,         0.150575,         0.059962
1211630400.000,2008-05-24 12:00:00,        -0.064112,         0.148350,         0.053336
1211716800.000,2008-05-25 12:00:00,        -0.060801,         0.150395,         0.059356
