#reqtime=1732322987.962,2024-11-23 00:49:47.962,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=189&dataTypes.0=990.3586812447757&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,KOSM_east,KOSM_north,KOSM_up
1136116800.000,2006-01-01 12:00:00,        -0.324580,         0.192419,         0.189778
1136203200.000,2006-01-02 12:00:00,        -0.320551,         0.192969,         0.175765
1136289600.000,2006-01-03 12:00:00,        -0.324844,         0.195284,         0.164453
1136376000.000,2006-01-04 12:00:00,        -0.322479,         0.198339,         0.180162
1136462400.000,2006-01-05 12:00:00,        -0.322749,         0.192691,         0.176462
1136548800.000,2006-01-06 12:00:00,        -0.322641,         0.194746,         0.177413
1136635200.000,2006-01-07 12:00:00,        -0.319106,         0.196052,         0.171983
1136721600.000,2006-01-08 12:00:00,        -0.322219,         0.201128,         0.176003
1136808000.000,2006-01-09 12:00:00,        -0.318114,         0.196122,         0.181041
1136894400.000,2006-01-10 12:00:00,        -0.319553,         0.191882,         0.167605
1136980800.000,2006-01-11 12:00:00,        -0.320875,         0.191958,         0.183798
1137067200.000,2006-01-12 12:00:00,        -0.318645,         0.198914,         0.163977
1137153600.000,2006-01-13 12:00:00,        -0.319791,         0.192044,         0.172369
1137240000.000,2006-01-14 12:00:00,        -0.321059,         0.192376,         0.168253
1137326400.000,2006-01-15 12:00:00,        -0.322938,         0.190968,         0.174270
1137412800.000,2006-01-16 12:00:00,        -0.323398,         0.192653,         0.171113
1137499200.000,2006-01-17 12:00:00,        -0.321182,         0.190980,         0.177477
1137585600.000,2006-01-18 12:00:00,        -0.322456,         0.191181,         0.167786
1137672000.000,2006-01-19 12:00:00,        -0.320433,         0.189955,         0.172376
1137758400.000,2006-01-20 12:00:00,        -0.321608,         0.192618,         0.172668
1137844800.000,2006-01-21 12:00:00,        -0.318071,         0.191399,         0.176705
1137931200.000,2006-01-22 12:00:00,        -0.321990,         0.190307,         0.174419
1138017600.000,2006-01-23 12:00:00,        -0.319383,         0.191051,         0.177522
1138104000.000,2006-01-24 12:00:00,        -0.323887,         0.186504,         0.179428
1138190400.000,2006-01-25 12:00:00,        -0.324355,         0.186545,         0.183667
1138276800.000,2006-01-26 12:00:00,        -0.316998,         0.184159,         0.175319
1138363200.000,2006-01-27 12:00:00,        -0.322155,         0.191300,         0.184103
1138449600.000,2006-01-28 12:00:00,        -0.323150,         0.187051,         0.165863
1138536000.000,2006-01-29 12:00:00,        -0.320953,         0.188959,         0.174635
1138622400.000,2006-01-30 12:00:00,        -0.322711,         0.189514,         0.167188
1138708800.000,2006-01-31 12:00:00,        -0.322666,         0.188599,         0.173119
1138795200.000,2006-02-01 12:00:00,        -0.322998,         0.188373,         0.176249
1138881600.000,2006-02-02 12:00:00,        -0.323769,         0.189139,         0.177717
1138968000.000,2006-02-03 12:00:00,        -0.325470,         0.185441,         0.180281
1139054400.000,2006-02-04 12:00:00,        -0.324478,         0.187514,         0.190708
1139140800.000,2006-02-05 12:00:00,        -0.321071,         0.188410,         0.181415
1139227200.000,2006-02-06 12:00:00,        -0.321392,         0.189376,         0.174415
1139313600.000,2006-02-07 12:00:00,        -0.323778,         0.186973,         0.176863
1139400000.000,2006-02-08 12:00:00,        -0.322170,         0.189054,         0.190540
1139486400.000,2006-02-09 12:00:00,        -0.324519,         0.185964,         0.177437
1139572800.000,2006-02-10 12:00:00,        -0.323928,         0.186274,         0.175965
1139659200.000,2006-02-11 12:00:00,        -0.324251,         0.186054,         0.173166
1139745600.000,2006-02-12 12:00:00,        -0.325481,         0.185605,         0.172840
1139832000.000,2006-02-13 12:00:00,        -0.325270,         0.184560,         0.182380
1139918400.000,2006-02-14 12:00:00,        -0.322808,         0.186716,         0.195183
1140004800.000,2006-02-15 12:00:00,        -0.325082,         0.186712,         0.175220
1140091200.000,2006-02-16 12:00:00,        -0.325634,         0.184832,         0.180104
1140177600.000,2006-02-17 12:00:00,        -0.330553,         0.181838,         0.182532
1140350400.000,2006-02-19 12:00:00,        -0.324211,         0.186333,         0.174849
1140436800.000,2006-02-20 12:00:00,        -0.327816,         0.181110,         0.179404
1140523200.000,2006-02-21 12:00:00,        -0.326577,         0.181701,         0.187918
1140609600.000,2006-02-22 12:00:00,        -0.326667,         0.180927,         0.187229
1140696000.000,2006-02-23 12:00:00,        -0.325096,         0.183659,         0.189346
1140782400.000,2006-02-24 12:00:00,        -0.325402,         0.182972,         0.197270
1140868800.000,2006-02-25 12:00:00,        -0.327308,         0.182391,         0.178794
1140955200.000,2006-02-26 12:00:00,        -0.328591,         0.181302,         0.177911
1141041600.000,2006-02-27 12:00:00,        -0.327433,         0.182365,         0.177158
1141128000.000,2006-02-28 12:00:00,        -0.326589,         0.182449,         0.177321
1141214400.000,2006-03-01 12:00:00,        -0.329888,         0.182128,         0.169321
1141300800.000,2006-03-02 12:00:00,        -0.330080,         0.181462,         0.175604
1141387200.000,2006-03-03 12:00:00,        -0.328187,         0.181069,         0.177154
1141473600.000,2006-03-04 12:00:00,        -0.327870,         0.182382,         0.171590
