#reqtime=1732323739.116,2024-11-23 01:02:19.116,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=358&dataTypes.0=1132.0759046105668&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,NPIT_east,NPIT_north,NPIT_up
1205582400.000,2008-03-15 12:00:00,        -0.070405,         0.223920,         0.345678
1205668800.000,2008-03-16 12:00:00,        -0.070456,         0.223620,         0.336914
1205755200.000,2008-03-17 12:00:00,        -0.068149,         0.221575,         0.336891
1205841600.000,2008-03-18 12:00:00,        -0.067492,         0.224762,         0.339376
1205928000.000,2008-03-19 12:00:00,        -0.069746,         0.224377,         0.353141
1206014400.000,2008-03-20 12:00:00,        -0.070182,         0.223315,         0.335216
1206100800.000,2008-03-21 12:00:00,        -0.067464,         0.221579,         0.342124
1206187200.000,2008-03-22 12:00:00,        -0.068566,         0.222422,         0.334413
1206273600.000,2008-03-23 12:00:00,        -0.068159,         0.220853,         0.333734
1206360000.000,2008-03-24 12:00:00,        -0.068448,         0.221828,         0.344589
1206446400.000,2008-03-25 12:00:00,        -0.066742,         0.221850,         0.339439
1206532800.000,2008-03-26 12:00:00,        -0.068633,         0.221106,         0.346241
1206619200.000,2008-03-27 12:00:00,        -0.069347,         0.221836,         0.336319
1206705600.000,2008-03-28 12:00:00,        -0.068725,         0.218600,         0.339140
1206792000.000,2008-03-29 12:00:00,        -0.067400,         0.219620,         0.354800
1206878400.000,2008-03-30 12:00:00,        -0.065536,         0.225124,         0.336127
