#reqtime=1732320360.978,2024-11-23 00:06:00.978,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=360&dataTypes.0=1104.7235723519698&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,OUTL_east,OUTL_north,OUTL_up
1208520000.000,2008-04-18 12:00:00,        -0.300535,         0.181603,         0.487489
1208606400.000,2008-04-19 12:00:00,        -0.299222,         0.184810,         0.485760
1208692800.000,2008-04-20 12:00:00,        -0.300978,         0.183821,         0.491500
1208779200.000,2008-04-21 12:00:00,        -0.300439,         0.179537,         0.484385
1208865600.000,2008-04-22 12:00:00,        -0.298246,         0.183078,         0.482521
1208952000.000,2008-04-23 12:00:00,        -0.297207,         0.179293,         0.481832
1209038400.000,2008-04-24 12:00:00,        -0.299203,         0.179891,         0.487199
1209124800.000,2008-04-25 12:00:00,        -0.299333,         0.183904,         0.480541
1209211200.000,2008-04-26 12:00:00,        -0.293717,         0.184348,         0.494857
1209297600.000,2008-04-27 12:00:00,        -0.294393,         0.182501,         0.473214
1209384000.000,2008-04-28 12:00:00,        -0.299991,         0.179800,         0.483376
1209470400.000,2008-04-29 12:00:00,        -0.297957,         0.181510,         0.475547
1209556800.000,2008-04-30 12:00:00,        -0.294709,         0.181182,         0.484071
1209643200.000,2008-05-01 12:00:00,        -0.299525,         0.182746,         0.480727
1209729600.000,2008-05-02 12:00:00,        -0.302392,         0.179654,         0.483352
1209816000.000,2008-05-03 12:00:00,        -0.301289,         0.181380,         0.476051
