#reqtime=1732320420.931,2024-11-23 00:07:00.931,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=141&dataTypes.0=1257.626851381734&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,UWEV_east,UWEV_north,UWEV_up
1136203200.000,2006-01-02 12:00:00,        -0.131511,         0.124237,         0.091224
1136289600.000,2006-01-03 12:00:00,        -0.131479,         0.125474,         0.094014
1136376000.000,2006-01-04 12:00:00,        -0.126985,         0.126217,         0.089169
1136462400.000,2006-01-05 12:00:00,        -0.131131,         0.120528,         0.097652
1136548800.000,2006-01-06 12:00:00,        -0.129610,         0.122566,         0.093460
1136635200.000,2006-01-07 12:00:00,        -0.129191,         0.123236,         0.094182
1136721600.000,2006-01-08 12:00:00,        -0.126646,         0.125499,         0.097968
1136808000.000,2006-01-09 12:00:00,        -0.126705,         0.122500,         0.098450
1136894400.000,2006-01-10 12:00:00,        -0.130830,         0.117742,         0.090337
1136980800.000,2006-01-11 12:00:00,        -0.126243,         0.118170,         0.093081
1137067200.000,2006-01-12 12:00:00,        -0.129488,         0.123449,         0.095330
1137153600.000,2006-01-13 12:00:00,        -0.128173,         0.122086,         0.096477
1137240000.000,2006-01-14 12:00:00,        -0.131407,         0.124088,         0.095789
1137326400.000,2006-01-15 12:00:00,        -0.131856,         0.124354,         0.097259
1137412800.000,2006-01-16 12:00:00,        -0.130276,         0.127163,         0.089122
1137499200.000,2006-01-17 12:00:00,        -0.134193,         0.123587,         0.091733
1137585600.000,2006-01-18 12:00:00,        -0.133697,         0.127112,         0.100651
1137672000.000,2006-01-19 12:00:00,        -0.131381,         0.124005,         0.109956
1137758400.000,2006-01-20 12:00:00,        -0.132743,         0.128633,         0.099129
1137844800.000,2006-01-21 12:00:00,        -0.133598,         0.128228,         0.090985
1137931200.000,2006-01-22 12:00:00,        -0.132929,         0.130379,         0.101908
1138017600.000,2006-01-23 12:00:00,        -0.132355,         0.131311,         0.108634
1138104000.000,2006-01-24 12:00:00,        -0.137594,         0.128476,         0.105457
1138190400.000,2006-01-25 12:00:00,        -0.137567,         0.128251,         0.110096
1138276800.000,2006-01-26 12:00:00,        -0.135615,         0.127915,         0.095121
1138363200.000,2006-01-27 12:00:00,        -0.139240,         0.132838,         0.099645
1138449600.000,2006-01-28 12:00:00,        -0.141102,         0.135187,         0.091574
1138536000.000,2006-01-29 12:00:00,        -0.140808,         0.135853,         0.107596
1138622400.000,2006-01-30 12:00:00,        -0.142443,         0.138493,         0.104813
1138708800.000,2006-01-31 12:00:00,        -0.142322,         0.138652,         0.105672
1138795200.000,2006-02-01 12:00:00,        -0.142972,         0.138531,         0.109509
